name,link,profile_photo,department,descipline
Choong Yeow Wei,https://www.researchgate.netprofile/Choong-Yeow-Wei-2,https://i1.rgstatic.net/ii/profile.image/934432592625666-1599797499755_Q64/Choong-Yeow-Wei-2.jpg,Department of Information Systems,"['Neural Networks and Artificial Intelligence', 'Unsupervised Learning', 'Supervised Learning']"
Raymonde Kamga,https://www.researchgate.netprofile/Raymonde-Kamga,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,EM Normandie Business School,"['Fruit Quality', 'Food Quality', 'Storage']"
Valentin Chesneau,https://www.researchgate.netprofile/Valentin-Chesneau,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Business,[]
Julien Vendrell,https://www.researchgate.netprofile/Julien-Vendrell,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Calvados,[]
Delphine Chouippe,https://www.researchgate.netprofile/Delphine-Chouippe,https://i1.rgstatic.net/ii/profile.image/272882127339545-1442071577968_Q64/Delphine-Chouippe.jpg,,['Business']
Nadj Bacar,https://www.researchgate.netprofile/Nadj-Bacar,https://i1.rgstatic.net/ii/profile.image/273618227691530-1442247077681_Q64/Nadj-Bacar.jpg,Administrative,"['Visual Culture', 'Photography', 'Film Theory']"
Coralie Hache,https://www.researchgate.netprofile/Coralie-Hache,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,DIMT,[]
Anne laure Blin,https://www.researchgate.netprofile/Anne-Blin,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Student,['General Economics']
Selmi Abdelhani,https://www.researchgate.netprofile/Selmi_Abdelhani,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,calvados,[]
Jeremy Osmond,https://www.researchgate.netprofile/Jeremy-Osmond,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,cross cultural marketin and negociation,[]
Noémie Remilly,https://www.researchgate.netprofile/Noemie-Remilly,https://i1.rgstatic.net/ii/profile.image/278643973607468-1443445308417_Q64/Noemie-Remilly.jpg,International events management,[]
Maeva Delamarche,https://www.researchgate.netprofile/Maeva-Delamarche,https://i1.rgstatic.net/ii/profile.image/278869564248072-1443499093318_Q64/Maeva-Delamarche.jpg,calvados,['Communication Theory']
Vincent Billet,https://www.researchgate.netprofile/Vincent-Billet-2,https://i1.rgstatic.net/ii/profile.image/279381235781633-1443621085384_Q64/Vincent-Billet-2.jpg,Calvados,"['Strategic Management', 'Management', 'Entrepreneurship']"
Cedric Blandamour,https://www.researchgate.netprofile/Cedric-Blandamour,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Department of Information Systems,"['IT Project Management', 'Information Technology', 'Information System Management']"
Tambi Yvette,https://www.researchgate.netprofile/Tambi-Yvette-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,MSC,[]
Monithida Cher,https://www.researchgate.netprofile/Monithida-Cher,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,School of Business,[]
Caroline Francoise,https://www.researchgate.netprofile/Caroline-Francoise,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,,[]
kévin Hetyei,https://www.researchgate.netprofile/Kevin-Hetyei,https://i1.rgstatic.net/ii/profile.image/280196801417216-1443815531168_Q64/Kevin-Hetyei.jpg,Etudiant,"['Strategic Management', 'Management']"
Pablo Di Stasio,https://www.researchgate.netprofile/Pablo-Di-Stasio,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,,"['Sociology', 'Interpersonal Communication', 'Multiculturalism']"
Bouisset Stepahnie,https://www.researchgate.netprofile/Bouisset-Stepahnie,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,RH,[]
Anna Ezold,https://www.researchgate.netprofile/Anna_Ezold,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Deauville Campus,[]
Paul Ameline,https://www.researchgate.netprofile/Paul-Ameline-2,https://c5.rgstatic.net/m/4671872220764/images/template/default/profile/profile_default_m.jpg,Cross Cultural Marketing,[]
Olivier Kovarski,https://www.researchgate.netprofile/Olivier-Kovarski,https://i1.rgstatic.net/ii/profile.image/287407762100240-1445534758156_Q64/Olivier-Kovarski.jpg,Marketing,"['Marketing Communication', 'Customer Satisfaction', 'Services Marketing']"
Anastasia Panova,https://www.researchgate.netprofile/Anastasia-Panova-4,https://i1.rgstatic.net/ii/profile.image/289635256291330-1446065835008_Q64/Anastasia-Panova-4.jpg,International logistics,"['Logistics', 'Operations Management', 'Management']"
Faten Ltaief,https://www.researchgate.netprofile/Faten-Ltaief,https://i1.rgstatic.net/ii/profile.image/291793422831617-1446580381562_Q64/Faten-Ltaief.jpg,master 2,"['Human Resource Management', 'Management', 'Strategic Management']"
